city,company_name,country,governate,location,mode,name,type,url
Sheraton,Egabi FSI,Egypt,Cairo,"Sheraton, Cairo, Egypt",on-site,software sales lead,full time,https://wuzzuf.net/jobs/p/ZnKKh9OQM4P0-Software-Sales-Lead-Egabi-FSI-Cairo-Egypt
Sheraton,Egabi FSI,Egypt,Cairo,"Sheraton, Cairo, Egypt",on-site,java technical lead,full time,https://wuzzuf.net/jobs/p/AQQhTAcHS1Jv-Java-Technical-Lead-Egabi-FSI-Cairo-Egypt
Smouha,Visionare,Egypt,Alexandria,"Smouha, Alexandria, Egypt",remote,backend developer intern python & nodejs,internship,https://wuzzuf.net/internship/hfzxszb6CEUf-BackEnd-Developer-Intern-Python-Nodejs-Visionare-Alexandria-Egypt
Heliopolis,Al Ateeq Software,Egypt,Cairo,"Heliopolis, Cairo, Egypt",on-site,senior full stack developer,full time,https://wuzzuf.net/jobs/p/Klg0dkbRMaJk-Senior-Full-Stack-Developer-Al-Ateeq-Software-Cairo-Egypt
Dokki,EasyKash,Egypt,Giza,"Dokki, Giza, Egypt",hybrid,product manager,full time,https://wuzzuf.net/jobs/p/wxdmVyaRIijK-Product-Manager-EasyKash-Giza-Egypt
New Cairo,Confidential,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,sr. security - soc analyst tier 2,full time,https://wuzzuf.net/jobs/p/6iPu9UBhnA9f-Sr-Security---SOC-analyst-Tier-2-Cairo-Egypt
New Cairo,Confidential,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,senior network admin,full time,https://wuzzuf.net/jobs/p/3L2tioP9X5cx-Senior-Network-Admin-Cairo-Egypt
Sheikh Zayed,Sky Distribution,Egypt,Giza,"Sheikh Zayed, Giza, Egypt",on-site,application support ( microsoft dynamic 365),full time,https://wuzzuf.net/jobs/p/XQt8dFwV27CL-Application-Support-Microsoft-dynamic-365-Sky-Distribution-Giza-Egypt
,Wadi Degla Clubs Company,Egypt,Cairo,"Cairo, Egypt",on-site,senior network engineer,full time,https://wuzzuf.net/jobs/p/9CfEjSPeeRNY-Senior-Network-Engineer-Wadi-Degla-Clubs-Company-Cairo-Egypt
Heliopolis,Tech4Health,Egypt,Cairo,"Heliopolis, Cairo, Egypt",on-site,it help desk,full time,https://wuzzuf.net/jobs/p/wFValtL8umEv-IT-Help-Desk-Tech4Health-Cairo-Egypt
Sheikh Zayed,Ultimate Solutions Egypt,Egypt,Giza,"Sheikh Zayed, Giza, Egypt",on-site,java web developer (spring-boot framework),full time,https://wuzzuf.net/jobs/p/jCUZPcThTSg5-Java-Web-Developer-Spring-boot-Framework-Ultimate-Solutions-Egypt-Giza-Egypt
Obour City,Delta Egypt For Lighting,Egypt,Cairo,"Obour City, Cairo, Egypt",on-site,it system admin,full time,https://wuzzuf.net/jobs/p/AJy4TCme8FOd-It-system-admin-Delta-Egypt-For-Lighting-Cairo-Egypt
Zamalek,Confidential,Egypt,Cairo,"Zamalek, Cairo, Egypt",on-site,frontend web developer,full time,https://wuzzuf.net/jobs/p/Bu2R37rw3ARN-Frontend-Web-Developer-Cairo-Egypt
Nasr City,AlRiyada,Egypt,Cairo,"Nasr City, Cairo, Egypt",on-site,web developer full stuck,full time,https://wuzzuf.net/jobs/p/2i0vtA83Br97-Web-Developer-full-stuck-AlRiyada-Cairo-Egypt
Maadi,Brand Connection,Egypt,Cairo,"Maadi, Cairo, Egypt",on-site,project manager,full time,https://wuzzuf.net/jobs/p/vd5bqnQx011o-Project-Manager-Brand-Connection-Cairo-Egypt
,RMG,Egypt,Cairo,"Cairo, Egypt",on-site,senior quality assurance engineer (automation testing),full time,https://wuzzuf.net/jobs/p/ppctRw8vcveH-Senior-Quality-Assurance-Engineer-Automation-Testing-RMG-Cairo-Egypt
,Confidential,Egypt,Cairo,"Cairo, Egypt",on-site,senior business analyst,full time,https://wuzzuf.net/jobs/p/eOyx7r6b1aC5-Senior-Business-Analyst-Cairo-Egypt
,Confidential,Egypt,Cairo,"Cairo, Egypt",on-site,backend developer,full time,https://wuzzuf.net/jobs/p/qP7gEx0tOi0J-Backend-Developer-Cairo-Egypt
Heliopolis,Cleopatra Hospitals Group,Egypt,Cairo,"Heliopolis, Cairo, Egypt",on-site,it help desk - cleopatra hospital,full time,https://wuzzuf.net/jobs/p/Fa7wcN82HS0R-IT-Help-Desk---Cleopatra-Hospital-Cleopatra-Hospitals-Group-Cairo-Egypt
,Nahdet Misr Publishing Group,Egypt,Giza,"Giza, Egypt",hybrid,software testing team leader,full time,https://wuzzuf.net/jobs/p/remrOJakCylW-Software-Testing-Team-Leader-Nahdet-Misr-Publishing-Group-Giza-Egypt
Nasr City,Orange Business,Egypt,Cairo,"Nasr City, Cairo, Egypt",hybrid,senior full stack developer ( french speaker ),full time,https://wuzzuf.net/jobs/p/yOMcvBPOGC8e-Senior-Full-Stack-Developer-French-Speaker-Orange-Business-Cairo-Egypt
New Cairo,Global Brands,Egypt,Cairo,"New Cairo, Cairo, Egypt",hybrid,software sales specialist,full time,https://wuzzuf.net/jobs/p/9g4yI2gw1CkU-Software-Sales-Specialist-Global-Brands-Cairo-Egypt
